iter	Passed	Remaining
149	5513	56977
150	5549	56930
151	5585	56883
152	5621	56839
153	5657	56796
154	5692	56745
155	5731	56726
156	5766	56670
157	5802	56627
158	5837	56576
159	5873	56535
160	5909	56490
161	5946	56451
162	5982	56410
163	6019	56379
164	6055	56335
165	6091	56289
166	6129	56262
167	6163	56208
168	6200	56172
169	6236	56128
170	6272	56083
171	6307	56031
172	6344	56004
173	6380	55962
174	6404	55809
175	6440	55765
176	6475	55721
177	6511	55677
178	6546	55625
179	6582	55586
180	6619	55554
181	6655	55515
182	6692	55480
183	6729	55442
184	6764	55392
185	6800	55354
186	6838	55327
187	6872	55273
188	6907	55222
189	6942	55174
190	6978	55130
191	7014	55093
192	7049	55046
193	7085	55000
194	7122	54971
195	7157	54921
196	7193	54880
197	7228	54834
198	7278	54900
199	7314	54857
200	7351	54823
201	7385	54773
202	7422	54737
203	7457	54691
204	7492	54643
205	7529	54606
206	7565	54567
207	7602	54534
208	7640	54506
209	7676	54463
210	7712	54423
211	7747	54378
212	7782	54333
213	7819	54294
214	7854	54252
215	7891	54217
216	7927	54177
217	7963	54138
218	8000	54105
219	8036	54061
220	8087	54124
221	8124	54089
222	8159	54043
223	8196	54010
224	8233	53977
225	8268	53926
226	8303	53882
227	8341	53852
228	8377	53813
229	8413	53770
230	8450	53742
231	8500	53790
232	8567	53943
233	8634	54096
234	8669	54047
235	8707	54013
236	8743	53974
237	8779	53929
238	8815	53890
239	8853	53860
240	8890	53822
241	8925	53775
242	8961	53734
243	8998	53693
244	9034	53652
245	9068	53602
246	9105	53566
247	9140	53518
248	9175	53467
249	9227	53518
250	9263	53475
251	9300	53440
252	9337	53403
253	9372	53357
254	9409	53320
255	9446	53285
256	9498	53331
257	9534	53292
258	9569	53244
259	9606	53205
260	9642	53160
261	9677	53113
262	9712	53070
263	9747	53022
264	9785	52986
265	9822	52953
266	9857	52907
267	9895	52875
268	9932	52836
269	9968	52795
270	10004	52755
271	10038	52703
272	10075	52664
273	10112	52628
274	10148	52588
275	10184	52545
276	10220	52502
277	10255	52455
278	10289	52408
279	10356	52521
280	10392	52481
281	10429	52442
282	10480	52474
283	10515	52427
284	10552	52392
285	10589	52355
286	10626	52320
287	10662	52274
288	10699	52238
289	10734	52191
290	10768	52141
291	10807	52114
292	10843	52073
293	10879	52029
294	10915	51988
295	10952	51948
296	10988	51907
297	11023	51864
298	11059	51820
299	11095	51779
300	11131	51735
301	11173	51725
302	11209	51680
303	11243	51632
304	11278	51587
305	11315	51548
306	11351	51508
307	11387	51465
308	11424	51427
309	11461	51393
310	11497	51352
311	11533	51309
312	11571	51275
313	11610	51249
314	11647	51211
315	11684	51173
316	11718	51126
317	11754	51084
318	11790	51042
319	11825	50996
320	11862	50958
321	11897	50917
322	11931	50866
323	11968	50827
324	11997	50759
325	12034	50722
326	12070	50682
327	12106	50641
328	12142	50597
329	12176	50552
330	12213	50512
331	12247	50467
332	12284	50429
333	12320	50388
334	12358	50357
335	12395	50319
336	12457	50385
337	12516	50435
338	12573	50479
339	12614	50459
340	12650	50417
341	12688	50383
342	12725	50347
343	12762	50306
344	12798	50267
345	12834	50225
346	12870	50185
347	12906	50142
348	12955	50150
349	12994	50120
350	13029	50077
351	13065	50034
352	13102	49996
353	13138	49954
354	13174	49913
355	13210	49871
356	13245	49827
357	13282	49791
358	13317	49746
359	13354	49708
360	13390	49665
361	13425	49622
362	13462	49585
363	13498	49544
364	13550	49560
365	13586	49521
366	13622	49477
367	13657	49435
368	13694	49398
369	13730	49356
370	13767	49319
371	13806	49286
372	13840	49240
373	13877	49200
374	13912	49156
375	13947	49112
376	13982	49069
377	14019	49031
378	14055	48990
379	14091	48948
380	14126	48905
381	14163	48867
382	14199	48826
383	14232	48774
384	14266	48728
385	14301	48682
386	14336	48640
387	14372	48600
388	14409	48561
389	14444	48518
390	14480	48476
391	14513	48428
392	14548	48385
393	14586	48350
394	14622	48308
395	14656	48263
396	14694	48227
397	14729	48184
398	14765	48143
399	14801	48103
400	14836	48062
